RAVE_OBS_ID,TEFF,LOGG,FE_H,E_TEFF,E_LOGG,E_FE_H
20031003_2024m65_134,nan,nan,nan,nan,nan,nan
20060731_2056m66_035,6013.325468217557,3.8844897110039183,0.011735409482600337,129.00241724986162,0.1676715950231419,0.06902720692569667
20060819_2237m64_070,5302.561983120913,3.7667209553581764,0.07073820976883474,96.86949681943136,0.14230466061452143,0.06778924512374784
20110707_2237m64a_066,6236.135794203288,4.470075086885352,0.11543489053067447,92.23038265682169,0.13180771778556474,0.06440742809019233
20080725_2105m46_128,4323.350862514868,4.7206310533831575,-0.06425521769426808,95.3856411039824,0.13286316231621167,0.08728013113860236
20070911_2105m46_127,4206.454273870563,4.934589283718936,-0.0763993948860775,83.55684679112069,0.12431831845130362,0.07366552623357903
20060816_0127m27_125,5861.9184856775155,4.196161723679301,-0.184255432150474,96.20244559195324,0.1476410494684832,0.06791499000606048
20080902_0127m27_125,5825.598598358825,4.195251411734149,-0.10406215913814636,95.9230883246193,0.1469391701180279,0.06768972640586676
20030617_1543m18_139,nan,nan,nan,nan,nan,nan
20030618_1543m18_120,nan,nan,nan,nan,nan,nan
20051113_2342m23_132,5657.219067158233,4.211075632540438,-0.02207987180067235,83.83154866403403,0.1370151363418268,0.06431094404335594
20061109_2355m23_014,nan,nan,nan,nan,nan,nan
20100604_1905m74_143,nan,nan,nan,nan,nan,nan
20090719_1905m74_128,4975.462166741325,4.683931345421943,0.15541995314950427,84.03053429280511,0.12478223956224879,0.06698840055201837
20060406_1610m02_123,nan,nan,nan,nan,nan,nan
20060406_1610m02_066,5781.926608323891,4.255118365656903,-0.10934156795882305,78.478972674864,0.12973701830918877,0.06237971639543559
20091205_0421m81_115,4612.502964444383,4.4925462041582005,0.16999999882968342,75.07994663678421,0.12429955436594153,0.06243841786539987
20091203_0421m81_112,nan,nan,nan,nan,nan,nan
20080626_2220m35_054,6131.889646121382,4.403194452991533,0.0747006113430829,79.44222778630939,0.12441550024642865,0.06223184256231335
20080927_2220m35_053,5349.521358848903,4.653027883332047,0.0534902820498086,91.60546433368016,0.12584201129516864,0.06785265270576656
20100509_2002m55_061,nan,nan,nan,nan,nan,nan
20100505_2004m53_024,nan,nan,nan,nan,nan,nan
20060729_2116m56_019,5898.636458485902,4.281681530722201,0.05491075992897453,92.67289771574542,0.14548787175874603,0.06528195074484985
20080828_2116m56_038,5835.713541332721,4.285855553471239,-0.05721436257795877,104.15470770753412,0.161306314157094,0.06995707313860881
20070901_2109m51_042,5825.144703395478,4.286354931496061,-0.2210929708052011,84.0966637932945,0.12973013552931104,0.06506890506516398
20070901_2109m51_015,5630.177939372101,4.456279734764532,-0.18264221579174206,87.9972179057557,0.12712440974260505,0.06754908653880697
20060614_2148m65_130,4337.937000613717,5.077131246867338,-0.5396133517202769,79.82162304869551,0.12146508897353199,0.07812458399752735
20081019_2148m65_135,5454.322325742504,4.414717689939951,-0.0003922393955213718,95.2321461639074,0.13496479296728536,0.06944315724607947
20071120_0246m66_060,6372.053361938669,4.051588478346863,-0.2511162212495167,107.42866502666236,0.15084443938763142,0.06863274060755933
20120918_0220m62_099,5302.479290555465,3.452668963238156,-0.2682948766985142,101.13961207617872,0.12940252841821107,0.07536045793584861
20091113_0405m49_079,5186.801544980572,4.525912554667361,-0.027691958691794603,92.28646825034264,0.13037266141147233,0.07135810393326694
20040924_0342m46_111,6500.273180146546,4.579974701900333,0.13475626809062893,181.4915454665216,0.1837298887593055,0.09088236308936552
20060818_0024m21_108,nan,nan,nan,nan,nan,nan
20060820_0042m19_131,5735.3894916237805,4.452681696925125,-0.06243880283611351,87.98023292184212,0.1291923142032825,0.06495984468557064
20080629_2109m51_143,4559.183157780249,4.78073475633725,0.07445729435772003,95.95236926587373,0.13031069053545188,0.07998187771768508
20071017_2109m51_141,nan,nan,nan,nan,nan,nan
20041003_0348m29_053,5995.22086862718,4.539978939247221,-0.19559615761108112,89.52360402707752,0.1270861337336322,0.06597287085728203
20060918_0346m30_099,5912.574447157657,4.2495374320448,-0.1702296150157266,87.85692286504276,0.13372588693557674,0.06562925752936132
